iteration , time , norm(U) , norm(M) , norm(A) , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , test-rmse , train-rmse , 
31 , 1.80078 , 13.2681 , 10.2327 , -1 , 23.5781 , 0.120649 , 1 , 13.2681 , 0.0773685 , 1 , 10.2327 , 1.01932 , 0.999951 , 2.81411 , 0.124393 , 
32 , 1.84194 , 13.1401 , 10.3357 , -1 , 23.5703 , 0.113845 , 1 , 13.1401 , 0.094501 , 1 , 10.3357 , 1.01848 , 0.999873 , 2.75436 , 0.108284 , 
33 , 1.87607 , 12.9721 , 10.3723 , -1 , 23.4419 , 0.0963121 , 1 , 12.9721 , 0.0974562 , 1 , 10.3723 , 1.00434 , 0.999951 , 2.68442 , 0.12537 , 
34 , 1.90954 , 12.9151 , 10.3957 , -1 , 23.3679 , 0.0948035 , 1 , 12.9151 , 0.057004 , 1 , 10.3957 , 1.01133 , 0.999664 , 2.62811 , 0.122338 , 
35 , 1.94572 , 12.7752 , 10.4748 , -1 , 23.3275 , 0.124767 , 1 , 12.7752 , 0.0775118 , 1 , 10.4748 , 1.00498 , 0.999873 , 2.5885 , 0.124508 , 
36 , 1.9792 , 12.7013 , 10.5688 , -1 , 23.379 , 0.099175 , 1 , 12.7013 , 0.108852 , 1 , 10.5688 , 0.999443 , 0.999992 , 2.57171 , 0.107958 , 
37 , 2.02104 , 12.5639 , 10.617 , -1 , 23.2576 , 0.10532 , 1 , 12.5639 , 0.0767259 , 1 , 10.617 , 1.00638 , 1.00011 , 2.56439 , 0.123876 , 
38 , 2.06304 , 12.4712 , 10.6859 , -1 , 23.2436 , 0.104011 , 1 , 12.4712 , 0.0864509 , 1 , 10.6859 , 1.01024 , 0.999939 , 2.51999 , 0.122071 , 
39 , 2.09221 , 12.3994 , 10.7256 , -1 , 23.2741 , 0.0923561 , 1 , 12.3994 , 0.149096 , 1 , 10.7256 , 0.998468 , 0.999664 , 2.46749 , 0.135368 , 
40 , 2.12096 , 12.3084 , 10.8198 , -1 , 23.2078 , 0.0958291 , 1 , 12.3084 , 0.0795787 , 1 , 10.8198 , 1.01338 , 0.999535 , 2.42368 , 0.126158 , 
41 , 2.15066 , 12.1963 , 10.8816 , -1 , 23.1458 , 0.0925696 , 1 , 12.1963 , 0.0680047 , 1 , 10.8816 , 1.01367 , 0.999467 , 2.36722 , 0.116623 , 
42 , 2.17978 , 12.0904 , 11.0681 , -1 , 23.314 , 0.119847 , 1 , 12.0904 , 0.155495 , 1 , 11.0681 , 1.03105 , 0.999433 , 2.31833 , 0.118708 , 
43 , 2.20268 , 11.9252 , 11.2262 , -1 , 23.2534 , 0.0804741 , 1 , 11.9252 , 0.101972 , 1 , 11.2262 , 1.02444 , 1.00023 , 2.32616 , 0.142809 , 
44 , 2.23254 , 11.7682 , 11.309 , -1 , 23.2136 , 0.0708515 , 1 , 11.7682 , 0.136458 , 1 , 11.309 , 1.01008 , 1.00015 , 2.25312 , 0.165201 , 
45 , 2.26434 , 11.6765 , 11.2571 , -1 , 23.1701 , 0.0712448 , 1 , 11.6765 , 0.236397 , 1 , 11.2571 , 1.00686 , 1.00005 , 2.22418 , 0.145221 , 
46 , 2.28341 , 11.6941 , 11.3552 , -1 , 23.7833 , 0.0760957 , 1 , 11.6941 , 0.733996 , 1 , 11.3552 , 1.00597 , 0.999467 , 2.19699 , 0.179768 , 
47 , 2.32141 , 11.6049 , 11.3759 , -1 , 23.0492 , 0.0853148 , 1 , 11.6049 , 0.0683319 , 1 , 11.3759 , 1.00001 , 0.999941 , 2.14747 , 0.116903 , 
48 , 2.35691 , 11.5586 , 11.325 , -1 , 22.9786 , 0.122192 , 1 , 11.5586 , 0.0950598 , 1 , 11.325 , 1.0031 , 0.999992 , 2.16584 , 0.157221 , 
49 , 2.37563 , 11.6291 , 11.4095 , -1 , 23.1615 , 0.0771904 , 1 , 11.6291 , 0.122888 , 1 , 11.4095 , 1.01803 , 1.00019 , 2.1409 , 0.156772 , 
50 , 2.40269 , 11.5367 , 11.4244 , -1 , 23.0756 , 0.0919454 , 1 , 11.5367 , 0.114548 , 1 , 11.4244 , 1.00346 , 0.999873 , 2.18873 , 0.145949 , 
51 , 2.42852 , 11.5312 , 11.452 , -1 , 23.0666 , 0.0724706 , 1 , 11.5312 , 0.083343 , 1 , 11.452 , 1.00859 , 1.00019 , 2.14829 , 0.129107 , 
52 , 2.45295 , 11.486 , 11.4239 , -1 , 23.0432 , 0.0688521 , 1 , 11.486 , 0.133292 , 1 , 11.4239 , 1.0118 , 0.997272 , 2.18232 , 0.178464 , 
