0.500 0.500 0.500 0.500 0.500 0.500 0.500 1.000 0.500 0.500
0.007 0.010 0.010 0.015 0.016 0.008 0.023 0.107 0.008 0.016
0.000 0.000 0.000 0.267 0.067 0.000 0.533 0.533 0.000 0.467
0.045 0.051 0.049 0.062 0.056 0.045 0.061 0.460 0.048 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.485 0.000 0.001
nan nan nan nan nan nan nan nan nan nan
0.130 0.111 0.106 0.157 0.226 0.130 0.503 0.503 0.130 0.416
nan nan nan nan nan nan nan nan nan nan
0.122 0.089 0.133 0.133 0.100 0.100 0.178 0.567 0.189 0.167
0.500 0.000 0.500 0.000 0.000 0.500 0.000 0.500 0.500 0.500
nan nan nan nan nan nan nan nan nan nan
0.113 0.133 0.150 0.150 0.187 0.103 0.183 0.893 0.103 0.193
0.000 0.000 0.000 0.121 0.113 0.000 0.173 0.208 0.000 0.106
0.011 0.019 0.019 0.061 0.036 0.011 0.052 0.048 0.011 0.022
0.002 0.002 0.002 0.000 0.000 0.002 0.000 0.519 0.002 0.000
0.072 0.061 0.064 0.066 0.080 0.098 0.064 0.862 0.090 0.061
1.000 nan 1.000 1.000 1.000 1.000 1.000 0.000 1.000 1.000
0.000 nan 0.000 1.000 1.000 0.000 1.000 1.000 0.000 1.000
0.014 0.019 0.020 0.025 0.058 0.014 0.028 0.026 0.014 0.046
0.001 0.001 0.001 0.000 0.000 0.001 0.000 0.829 0.001 0.000
1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000
0.007 0.033 0.035 0.039 0.028 0.007 0.030 0.475 0.007 0.034
0.023 0.028 0.027 0.053 0.047 0.022 0.086 0.031 0.022 0.034
0.065 0.130 0.109 0.130 0.130 0.065 0.870 0.130 0.065 0.239
0.067 0.060 0.060 0.032 0.044 0.065 0.028 0.528 0.065 0.028
0.333 0.333 0.333 0.333 0.333 0.333 1.000 1.000 0.000 0.333
0.098 0.077 0.084 0.259 0.245 0.098 0.182 0.364 0.098 0.189
0.012 0.021 0.021 0.013 0.015 0.014 0.013 0.013 0.014 0.013
0.030 0.033 0.034 0.040 0.052 0.026 0.464 0.100 0.026 0.130
0.062 0.062 0.062 0.125 0.125 0.062 0.188 0.531 0.125 0.188
0.017 0.021 0.021 0.139 0.125 0.017 0.132 0.355 0.017 0.132
nan nan nan nan nan nan nan nan nan nan
0.106 0.124 0.110 0.152 0.148 0.124 0.152 0.399 0.237 0.194
0.012 0.009 0.010 0.064 0.066 0.012 0.077 0.155 0.012 0.070
0.500 0.250 0.500 0.500 0.750 0.500 0.500 0.750 0.500 0.750
0.038 0.057 0.062 0.171 0.195 0.038 0.152 0.314 0.038 0.171
0.057 0.057 0.057 0.170 0.547 0.057 0.415 0.660 0.057 0.434
0.012 0.028 0.026 0.046 0.138 0.012 0.064 0.062 0.012 0.283
